"id_hoja_vida","ID_Equipo","id_soat","id_tecnomecanica","id_extintor","fecha_registro","estado"
"1","1","1","1","1","12/10/2022 14:34:54","1"
"2","8","2","2","2","12/10/2022 14:35:05","1"
